point_id,ctau_mm,total_width_GeV,g_hH2H2_GeV,GHphiphi_GeV,BR_H2_to_bb,sigma_production_pb,sigma_production_error_pb,Trackless_Aeff,Trackless_Aeff_error,sigma_4b_fb,visible_sigma_fb,N_expected_139fb,N_expected_error,observed_S95,N_over_observed_S95,above_observed_S95,interpretation,production_status,efficiency_status
eff_ctau30_g40_br0p1,30,6.5775660133333334e-15,40,-40,0.1,9.1117154238163340e-05,0.0000000000000000e+00,0.01856252,0.002679268979709453,9.1117154238163365e-04,1.6913639978889923e-05,2.3509959570656991e-03,3.3933703716890087e-04,3.0,7.8366531902189973e-04,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau30_g40_br0p25,30,6.5775660133333334e-15,40,-40,0.25,9.1117154238163340e-05,0.0000000000000000e+00,0.01856252,0.002679268979709453,5.6948221398852089e-03,1.0571024986806198e-04,1.4693724731660616e-02,2.1208564823056299e-03,3.0,4.8979082438868719e-03,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau30_g40_br0p5,30,6.5775660133333334e-15,40,-40,0.5,9.1117154238163340e-05,0.0000000000000000e+00,0.01856252,0.002679268979709453,2.2779288559540836e-02,4.2284099947224792e-04,5.8774898926642463e-02,8.4834259292225194e-03,3.0,1.9591632975547488e-02,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau30_g40_br0p7567,30,6.5775660133333334e-15,40,-40,0.7567374858085787,9.1117154238163340e-05,0.0000000000000000e+00,0.01856252,0.002679268979709453,5.2178386205496426e-02,9.6856233750725149e-04,1.3463016491350796e-01,1.9432190488464385e-02,3.0,4.4876721637835987e-02,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau30_g40_br1,30,6.5775660133333334e-15,40,-40,1,9.1117154238163340e-05,0.0000000000000000e+00,0.01856252,0.002679268979709453,9.1117154238163342e-02,1.6913639978889917e-03,2.3509959570656985e-01,3.3933703716890078e-02,3.0,7.8366531902189951e-02,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau100_g40_br0p1,100,1.9732698039999999e-15,40,-40,0.1,9.1117154238163340e-05,0.0000000000000000e+00,0.01425306,0.002079022475718981,9.1117154238163365e-04,1.2986982663857966e-05,1.8051905902762573e-03,2.6331411010272550e-04,3.0,6.0173019675875238e-04,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau100_g40_br0p25,100,1.9732698039999999e-15,40,-40,0.25,9.1117154238163340e-05,0.0000000000000000e+00,0.01425306,0.002079022475718981,5.6948221398852089e-03,8.1168641649112267e-05,1.1282441189226606e-02,1.6457131881420341e-03,3.0,3.7608137297422020e-03,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau100_g40_br0p5,100,1.9732698039999999e-15,40,-40,0.5,9.1117154238163340e-05,0.0000000000000000e+00,0.01425306,0.002079022475718981,2.2779288559540836e-02,3.2467456659644907e-04,4.5129764756906422e-02,6.5828527525681364e-03,3.0,1.5043254918968808e-02,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau100_g40_br0p7567,100,1.9732698039999999e-15,40,-40,0.7567374858085787,9.1117154238163340e-05,0.0000000000000000e+00,0.01425306,0.002079022475718981,5.2178386205496426e-02,7.4370166929011285e-04,1.0337453203132568e-01,1.5078725235848149e-02,3.0,3.4458177343775230e-02,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau100_g40_br1,100,1.9732698039999999e-15,40,-40,1,9.1117154238163340e-05,0.0000000000000000e+00,0.01425306,0.002079022475718981,9.1117154238163342e-02,1.2986982663857963e-03,1.8051905902762569e-01,2.6331411010272546e-02,3.0,6.0173019675875232e-02,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau300_g40_br0p1,300,6.5775660133333338e-16,40,-40,0.1,9.1117154238163340e-05,0.0000000000000000e+00,0.006872078500000001,0.001161593276620673,9.1117154238163365e-04,6.2616423662126638e-06,8.7036828890356031e-04,1.4711909250952462e-04,3.0,2.9012276296785342e-04,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau300_g40_br0p25,300,6.5775660133333338e-16,40,-40,0.25,9.1117154238163340e-05,0.0000000000000000e+00,0.006872078500000001,0.001161593276620673,5.6948221398852089e-03,3.9135264788829139e-05,5.4398018056472505e-03,9.1949432818452857e-04,3.0,1.8132672685490835e-03,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau300_g40_br0p5,300,6.5775660133333338e-16,40,-40,0.5,9.1117154238163340e-05,0.0000000000000000e+00,0.006872078500000001,0.001161593276620673,2.2779288559540836e-02,1.5654105915531655e-04,2.1759207222589002e-02,3.6779773127381143e-03,3.0,7.2530690741963340e-03,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau300_g40_br0p7567,300,6.5775660133333338e-16,40,-40,0.7567374858085787,9.1117154238163340e-05,0.0000000000000000e+00,0.006872078500000001,0.001161593276620673,5.2178386205496426e-02,3.5857396600748862e-04,4.9841781275040922e-02,8.4247987015697925e-03,3.0,1.6613927091680306e-02,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau300_g40_br1,300,6.5775660133333338e-16,40,-40,1,9.1117154238163340e-05,0.0000000000000000e+00,0.006872078500000001,0.001161593276620673,9.1117154238163342e-02,6.2616423662126622e-04,8.7036828890356008e-02,1.4711909250952457e-02,3.0,2.9012276296785336e-02,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau0p3_g63p591_br0p1,0.3,6.5775660133333333e-13,63.59142520075966,-63.59142520075966,0.1,2.3029116756800001e-04,0.0000000000000000e+00,0,0.0005,2.3029116756800006e-03,0.0000000000000000e+00,0.0000000000000000e+00,1.6005236145976004e-04,3.0,0.0000000000000000e+00,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,LOW_MC_STATISTICS
eff_ctau0p3_g63p591_br0p25,0.3,6.5775660133333333e-13,63.59142520075966,-63.59142520075966,0.25,2.3029116756800001e-04,0.0000000000000000e+00,0,0.0005,1.4393197973000000e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0003272591235001e-03,3.0,0.0000000000000000e+00,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,LOW_MC_STATISTICS
eff_ctau0p3_g63p591_br0p5,0.3,6.5775660133333333e-13,63.59142520075966,-63.59142520075966,0.5,2.3029116756800001e-04,0.0000000000000000e+00,0,0.0005,5.7572791892000000e-02,0.0000000000000000e+00,0.0000000000000000e+00,4.0013090364940003e-03,3.0,0.0000000000000000e+00,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,LOW_MC_STATISTICS
eff_ctau0p3_g63p591_br0p7567,0.3,6.5775660133333333e-13,63.59142520075966,-63.59142520075966,0.7567374858085787,2.3029116756800001e-04,0.0000000000000000e+00,0,0.0005,1.3187661073862800e-01,0.0000000000000000e+00,0.0000000000000000e+00,9.1654244463346465e-03,3.0,0.0000000000000000e+00,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,LOW_MC_STATISTICS
eff_ctau0p3_g63p591_br1,0.3,6.5775660133333333e-13,63.59142520075966,-63.59142520075966,1,2.3029116756800001e-04,0.0000000000000000e+00,0,0.0005,2.3029116756800000e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.6005236145976001e-02,3.0,0.0000000000000000e+00,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,LOW_MC_STATISTICS
eff_ctau1_g63p591_br0p1,1,1.9732698040000000e-13,63.59142520075966,-63.59142520075966,0.1,2.3029116756800001e-04,0.0000000000000000e+00,0.003951574,0.00124959741827022,2.3029116756800006e-03,9.1001259019135227e-06,1.2649175003659797e-03,4.0000203533633639e-04,3.0,4.2163916678865989e-04,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
eff_ctau1_g63p591_br0p25,1,1.9732698040000000e-13,63.59142520075966,-63.59142520075966,0.25,2.3029116756800001e-04,0.0000000000000000e+00,0.003951574,0.00124959741827022,1.4393197973000000e-02,5.6875786886959502e-05,7.9057343772873708e-03,2.5000127208521018e-03,3.0,2.6352447924291237e-03,False,EFFECTIVE_PHENOMENOLOGICAL,STRUCTURAL_PREDICTION_ONLY,VALIDATED
