event_index,m_H2H2,pT_H2H2,pT_H2_leading,pT_H2_subleading,y_H2_leading,y_H2_subleading,delta_phi_H2H2,delta_R_H2H2
402,389.1761541899799,0,78.38561091943797,78.38561091943797,-1.420424871619994,-2.501679523738608,3.141592653589793,3.322456323838961
403,427.5398455381938,0,151.7625405055547,151.7625405055547,1.549735071381515,1.429152348459303,3.141592653589793,3.143905945501025
404,302.9482403299041,0,18.76178095514937,18.76178095514937,2.335994348560718,2.208901084247978,3.141592653589793,3.144162384312081
405,405.2743971026103,0,65.27589292290702,65.27589292290702,0.2299715672038825,-1.125820740191679,3.141592653589793,3.421662926397388
406,530.4810315020947,0,218.6434426865039,218.6434426865039,0.9299879472447056,0.9820094369531536,3.141592653589793,3.142023334808455
407,325.3137907536303,0,45.99417647048688,45.99417647048688,0.9116917355829551,0.3712184296596734,3.141592653589793,3.187744625202119
408,598.4493759417791,0,258.8521193948353,258.8521193948353,0.3537605207945791,0.3165451158311581,3.141592653589793,3.141813073283633
409,319.9675877705291,0,31.00757512544189,31.00757512544189,-1.4749648557257,-0.8806586883836459,3.141592653589793,3.197312030695497
410,381.0267137500244,0,105.1785950943513,105.1785950943513,-0.1166329604014457,0.4465914782826673,3.141592653589793,3.191680774986808
411,379.8851325056847,0,79.82606097750366,79.82606097750366,-0.3983026944257289,-1.359978044609023,3.141592653589793,3.285486855892064
412,418.3624642114729,0,131.6034961720715,131.6034961720715,1.693645054191376,1.074673090309995,3.141592653589793,3.201988552940271
413,558.4637642711666,0,234.39282133651,234.39282133651,-0.1730981642835155,-0.3384369394306501,3.141592653589793,3.145940449477153
414,576.4216466887407,0,113.341789394155,113.341789394155,0.930061656499695,2.912782899140501,3.141592653589793,3.714941174111436
415,399.0557161322749,0,71.98072193666852,71.98072193666852,0.08543768508124501,1.327908767008192,3.141592653589793,3.378363330151758
416,432.2382839885095,0,29.02230789951981,29.02230789951981,1.182019044487585,2.945459516462667,3.141592653589793,3.602683263803391
417,372.1736012922541,0,90.4808903046565,90.4808903046565,-0.6394097473755526,0.0628496464175942,3.141592653589793,3.219126070420367
418,390.0336359533404,0,123.8348311570694,123.8348311570694,1.783970870788804,1.927977364518423,3.141592653589793,3.144891456207298
419,362.1831993147098,0,65.75515991698103,65.75515991698103,-0.05626575471834958,-0.9679320801120491,3.141592653589793,3.271198540282477
420,518.2970795251814,0,183.9792504300386,183.9792504300386,-1.318357973723865,-2.168503916621435,3.141592653589793,3.254589455724724
421,392.8773522485669,0,122.7402167694046,122.7402167694046,1.052218300266893,0.7236528695296996,3.141592653589793,3.15872753547451
422,466.7711146136987,0,134.8050397481026,134.8050397481026,-0.6287511879113437,-1.736127965549076,3.141592653589793,3.331049043280613
423,431.4072393531856,0,51.5476105975752,51.5476105975752,-2.132751569250093,-0.4829603753584911,3.141592653589793,3.548438443108691
424,465.9705449652517,0,90.5196196241544,90.5196196241544,-0.2821202228955526,1.300690827382788,3.141592653589793,3.517796927335713
425,366.5936516004967,0,54.07661291351363,54.07661291351363,0.9733622485100809,-0.1072718690673604,3.141592653589793,3.32225442992582
426,370.8692689618767,0,107.0398646776293,107.0398646776293,1.032054864704713,1.256243478250387,3.141592653589793,3.149581708026145
427,350.5365988150304,0,81.29863965305253,81.29863965305253,-1.266205729953472,-1.732259510411252,3.141592653589793,3.175973949415887
428,363.8735827492146,0,96.15273782914063,96.15273782914063,1.634571335986519,1.224159811086394,3.141592653589793,3.168286922117409
429,384.739458559774,0,98.34555818725553,98.34555818725553,1.00829063494445,0.2512229082283908,3.141592653589793,3.231525327755359
430,380.8201794614565,0,36.16078628274334,36.16078628274334,-0.102594634792829,1.240383175730888,3.141592653589793,3.416605596297067
431,483.0223915501435,0,143.853404219033,143.853404219033,-2.17501756691866,-1.051247031628046,3.141592653589793,3.336534821798914
432,410.6496756085575,0,113.8143601644354,113.8143601644354,1.303476566548582,0.4590578815605074,3.141592653589793,3.25309811051655
433,384.3825512035882,0,112.3867560532409,112.3867560532409,-2.389336406192292,-1.939582117934316,3.141592653589793,3.173623059044
434,383.2474762164208,0,106.2568916650915,106.2568916650915,-0.7026777261571377,-1.283332202824605,3.141592653589793,3.194802657812111
435,363.5355248630298,0,102.0376237640501,102.0376237640501,-0.386919907625243,-0.5114895900385499,3.141592653589793,3.144061387261055
436,400.755407828994,0,132.2485139583461,132.2485139583461,1.623077816921673,1.496042635060772,3.141592653589793,3.144160037040066
437,367.5042555099595,0,89.6972006008854,89.6972006008854,0.3001230867721552,0.9385097431243626,3.141592653589793,3.205798172701755
438,348.825173430753,0,88.95673680261379,88.95673680261379,-1.514212142596052,-1.485088759145067,3.141592653589793,3.141727641370746
439,445.7752589710995,0,164.8602262966783,164.8602262966783,-1.712427961652327,-1.712733694489252,3.141592653589793,3.141592668466414
440,648.7114323941611,0,282.1711778671571,282.1711778671571,0.1117831690369688,0.4577319538380336,3.141592653589793,3.160583009951596
441,564.6220984106159,0,236.2970356405359,236.2970356405359,-0.546943564376729,-0.8100205790374773,3.141592653589793,3.152588447091083
442,314.2724269121359,0,46.51020041473164,46.51020041473164,-1.848336929261812,-1.780254532377533,3.141592653589793,3.142330284017717
443,338.2294398653566,0,23.7942985368524,23.7942985368524,-1.848395561077661,-0.9042590965549236,3.141592653589793,3.280396022545274
444,342.2808434228471,0,8.338930880005762,8.338930880005762,0.2545844254235473,-0.7887313680629915,3.141592653589793,3.310303950701174
445,356.4145613968122,0,80.72551049343633,80.72551049343633,-1.135435018684798,-1.7408684110467,3.141592653589793,3.199399005075203
446,314.1174087608729,0,45.26970222668819,45.26970222668819,1.07306856489578,0.9344663156741171,3.141592653589793,3.144648626568422
447,405.6906986085583,0,133.8133024721957,133.8133024721957,-1.582184613477578,-1.312302010628257,3.141592653589793,3.153163652652695
448,366.2727699111264,0,92.93144447888677,92.93144447888677,-0.8741612683708048,-0.325491409174382,3.141592653589793,3.189144558573659
449,400.5373269803288,0,110.3236705003807,110.3236705003807,0.3654406334054839,1.138024766280969,3.141592653589793,3.235195611313221
450,407.8332975331222,0,138.1324462922127,138.1324462922127,-0.522060502002225,-0.5103443997632975,3.141592653589793,3.14161450024363
451,348.3437317405038,0,86.92381402176906,86.92381402176906,-0.8001941504482983,-0.6074228725290919,3.141592653589793,3.14750141646989
452,398.455420178298,0,131.0662815693023,131.0662815693023,1.173167082048953,1.136538276987617,3.141592653589793,3.141806179644056
453,490.141062805734,0,72.4195125100798,72.4195125100798,-0.4531770727759841,1.419424923526332,3.141592653589793,3.657354595557392
454,392.6013053745557,0,125.5862805446664,125.5862805446664,0.7807552672175254,0.6154551907352888,3.141592653589793,3.145938415858516
455,387.7640639999044,0,107.1728906637403,107.1728906637403,-0.2408749469069629,0.3994362241859693,3.141592653589793,3.206181965658805
456,340.6953030972176,0,14.17996926668291,14.17996926668291,-0.3924264971056207,-1.403810751642071,3.141592653589793,3.300379146615372
457,311.7356664648199,0,36.02518377432663,36.02518377432663,-0.942278829594601,-1.230300640428079,3.141592653589793,3.154767973180461
458,345.6013443634886,0,16.42930892914413,16.42930892914413,0.3213848645880646,-0.7436003670224142,3.141592653589793,3.317197302639351
459,659.590407892431,0,192.6536313952811,192.6536313952811,0.1206890878257332,-1.508895886128421,3.141592653589793,3.539089090207608
460,333.4371422444274,0,70.87498926220771,70.87498926220771,0.5991429487976436,0.400713215818048,3.141592653589793,3.147853039774842
461,363.5547181078451,0,74.84945471987047,74.84945471987047,-0.7042997567094406,0.1114746401357927,3.141592653589793,3.245780686928426
462,348.7008583425475,0,88.66768042726204,88.66768042726204,1.149861960068285,1.218825644854617,3.141592653589793,3.142349501711843
