point_id,ctau_mm,total_width_GeV,g_hH2H2_GeV,GHphiphi_GeV,BR_H2_to_bb,sigma_production_pb,sigma_production_error_pb,Trackless_Aeff,Trackless_Aeff_error,sigma_4b_fb,visible_sigma_fb,N_expected_139fb,N_expected_error,observed_S95,N_over_observed_S95,above_observed_S95,interpretation,production_status,efficiency_status,production_evaluation_mode
eff_ctau30_g40_br0p1,30,6.5775660133333334e-15,40,-40,0.1,9.1290000000000002e-05,2.2249999999999999e-07,0.01856252,0.002679268979709453,9.1290000000000013e-04,1.6945724508000002e-05,2.3554557066120005e-03,3.3998074656916969e-04,3.0,7.8515190220400019e-04,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau30_g40_br0p25,30,6.5775660133333334e-15,40,-40,0.25,9.1290000000000002e-05,2.2249999999999999e-07,0.01856252,0.002679268979709453,5.7056249999999998e-03,1.0591077817499999e-04,1.4721598166324998e-02,2.1248796660573101e-03,3.0,4.9071993887749993e-03,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau30_g40_br0p5,30,6.5775660133333334e-15,40,-40,0.5,9.1290000000000002e-05,2.2249999999999999e-07,0.01856252,0.002679268979709453,2.2822499999999999e-02,4.2364311269999996e-04,5.8886392665299991e-02,8.4995186642292404e-03,3.0,1.9628797555099997e-02,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau30_g40_br0p7567,30,6.5775660133333334e-15,40,-40,0.7567374858085787,9.1290000000000002e-05,2.2249999999999999e-07,0.01856252,0.002679268979709453,5.2277366611441965e-02,9.7039966327222365e-04,1.3488555319483908e-01,1.9469052611707983e-02,3.0,4.4961851064946358e-02,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau30_g40_br1,30,6.5775660133333334e-15,40,-40,1,9.1290000000000002e-05,2.2249999999999999e-07,0.01856252,0.002679268979709453,9.1289999999999996e-02,1.6945724507999999e-03,2.3554557066119997e-01,3.3998074656916961e-02,3.0,7.8515190220399989e-02,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau100_g40_br0p1,100,1.9732698039999999e-15,40,-40,0.1,9.1290000000000002e-05,2.2249999999999999e-07,0.01425306,0.002079022475718981,9.1290000000000013e-04,1.3011618474000002e-05,1.8086149678860001e-03,2.6381360691365627e-04,3.0,6.0287165596200004e-04,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau100_g40_br0p25,100,1.9732698039999999e-15,40,-40,0.25,9.1290000000000002e-05,2.2249999999999999e-07,0.01425306,0.002079022475718981,5.7056249999999998e-03,8.1322615462499993e-05,1.1303843549287498e-02,1.6488350432103513e-03,3.0,3.7679478497624993e-03,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau100_g40_br0p5,100,1.9732698039999999e-15,40,-40,0.5,9.1290000000000002e-05,2.2249999999999999e-07,0.01425306,0.002079022475718981,2.2822499999999999e-02,3.2529046184999997e-04,4.5215374197149993e-02,6.5953401728414051e-03,3.0,1.5071791399049997e-02,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau100_g40_br0p7567,100,1.9732698039999999e-15,40,-40,0.7567374858085787,9.1290000000000002e-05,2.2249999999999999e-07,0.01425306,0.002079022475718981,5.2277366611441965e-02,7.4511244295487897e-04,1.0357062957072817e-01,1.5107329001765851e-02,3.0,3.4523543190242721e-02,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
eff_ctau100_g40_br1,100,1.9732698039999999e-15,40,-40,1,9.1290000000000002e-05,2.2249999999999999e-07,0.01425306,0.002079022475718981,9.1289999999999996e-02,1.3011618473999999e-03,1.8086149678859997e-01,2.6381360691365621e-02,3.0,6.0287165596199989e-02,False,EFFECTIVE_PHENOMENOLOGICAL,MADGRAPH_DIRECT_RUN,VALIDATED,madgraph
